teamName,goalsHalfTime_mean,xGoals_mean,shots_mean,shotsOnTarget_mean,ppda_mean,pressure_mode,cluster_label
Bayern Munich,0.578,0.352,0.381,0.399,7.502,3,1
Manchester City,0.532,0.333,0.369,0.348,8.328,3,1
Juventus,0.527,0.268,0.338,0.314,9.755,2,1
Paris Saint Germain,0.512,0.35,0.32,0.346,7.601,3,1
Real Madrid,0.508,0.326,0.357,0.365,9.601,2,1
Rayo Vallecano,0.495,0.195,0.271,0.245,7.551,3,1
Borussia Dortmund,0.495,0.302,0.313,0.316,9.899,3,1
Liverpool,0.493,0.27,0.341,0.32,9.287,2,1
Chelsea,0.479,0.257,0.325,0.3,11.03,2,1
Hoffenheim,0.478,0.242,0.3,0.282,10.333,2,1
Barcelona,0.475,0.363,0.328,0.376,7.813,3,1
Lyon,0.474,0.268,0.322,0.323,8.755,2,1
AC Milan,0.464,0.229,0.314,0.279,10.129,2,1
Roma,0.456,0.274,0.339,0.307,10.156,2,1
Arsenal,0.452,0.253,0.294,0.281,10.369,2,1
Bayer Leverkusen,0.449,0.243,0.308,0.299,8.245,3,1
Monaco,0.44,0.247,0.271,0.268,9.515,2,1
Borussia M.Gladbach,0.438,0.244,0.281,0.281,12.137,2,1
RasenBallsport Leipzig,0.436,0.282,0.315,0.312,9.237,2,1
Palermo,0.433,0.159,0.238,0.191,12.215,2,0
Manchester United,0.431,0.235,0.291,0.285,9.883,2,1
Lazio,0.43,0.248,0.314,0.289,10.428,2,1
Spezia,0.429,0.19,0.218,0.199,11.88,2,0
Atletico Madrid,0.428,0.222,0.254,0.251,9.998,2,0
Sassuolo,0.424,0.2,0.277,0.241,10.241,2,0
Napoli,0.422,0.277,0.372,0.353,10.43,2,1
Werder Bremen,0.421,0.186,0.263,0.25,12.327,2,0
Union Berlin,0.419,0.194,0.25,0.226,14.966,1,0
Tottenham,0.419,0.239,0.312,0.296,9.322,2,1
Wolfsburg,0.419,0.215,0.283,0.27,10.951,2,0
Nice,0.418,0.186,0.242,0.23,11.215,2,0
Bournemouth,0.406,0.184,0.248,0.218,13.882,1,0
Eintracht Frankfurt,0.403,0.219,0.262,0.252,9.818,2,0
Fortuna Duesseldorf,0.4,0.189,0.264,0.229,17.047,1,0
Real Sociedad,0.4,0.196,0.254,0.223,8.632,2,0
Fiorentina,0.398,0.214,0.314,0.268,9.835,2,1
Southampton,0.397,0.201,0.275,0.245,9.911,2,0
Udinese,0.395,0.173,0.247,0.202,14.426,1,0
Leeds,0.394,0.235,0.292,0.291,7.641,3,1
Everton,0.393,0.198,0.256,0.236,11.569,2,0
Lille,0.392,0.184,0.265,0.24,10.419,2,0
West Ham,0.392,0.195,0.26,0.228,13.172,1,0
Valencia,0.39,0.206,0.238,0.226,10.983,2,0
Atalanta,0.39,0.258,0.32,0.29,9.159,2,1
Bordeaux,0.389,0.183,0.25,0.217,10.885,2,0
Leicester,0.389,0.217,0.27,0.244,11.226,2,0
Reims,0.387,0.156,0.233,0.201,12.722,1,0
Athletic Club,0.384,0.188,0.241,0.221,8.665,2,0
Villarreal,0.382,0.217,0.251,0.242,10.508,2,0
GFC Ajaccio,0.382,0.129,0.247,0.177,10.823,2,0
Strasbourg,0.381,0.183,0.244,0.215,12.613,1,0
Darmstadt,0.381,0.162,0.215,0.172,13.775,1,0
Hertha Berlin,0.38,0.178,0.218,0.214,12.647,1,0
Mainz 05,0.38,0.196,0.266,0.24,11.664,2,0
Montpellier,0.379,0.18,0.258,0.231,12.298,2,0
Girona,0.379,0.189,0.24,0.222,10.481,2,0
Dijon,0.375,0.146,0.237,0.203,12.672,2,0
Inter,0.373,0.261,0.331,0.292,9.711,2,1
Almeria,0.371,0.153,0.221,0.174,8.761,3,0
Celta Vigo,0.365,0.195,0.237,0.225,8.673,3,0
SPAL 2013,0.364,0.155,0.243,0.185,13.378,1,0
Parma Calcio 1913,0.363,0.162,0.229,0.185,14.378,1,0
Freiburg,0.362,0.183,0.254,0.239,14.109,1,0
Sevilla,0.362,0.246,0.272,0.26,8.64,2,1
Bologna,0.362,0.179,0.253,0.219,11.557,2,0
Marseille,0.36,0.226,0.282,0.26,8.454,2,1
Deportivo La Coruna,0.36,0.171,0.249,0.209,10.602,2,0
Las Palmas,0.36,0.155,0.237,0.231,9.819,2,0
Rennes,0.359,0.18,0.25,0.221,10.92,2,0
Augsburg,0.356,0.184,0.255,0.229,12.287,1,0
Schalke 04,0.353,0.184,0.256,0.226,11.013,2,0
FC Cologne,0.353,0.185,0.24,0.214,14.586,1,0
Elche,0.352,0.139,0.189,0.159,12.084,2,0
Ingolstadt,0.349,0.19,0.276,0.239,7.831,2,0
Sporting Gijon,0.347,0.157,0.209,0.187,10.549,2,0
Toulouse,0.346,0.173,0.237,0.203,10.261,2,0
Empoli,0.345,0.173,0.255,0.217,10.495,2,0
Lens,0.343,0.188,0.238,0.197,11.444,2,0
Stoke,0.343,0.172,0.242,0.194,12.784,2,0
Cagliari,0.341,0.174,0.243,0.213,12.555,2,0
Espanyol,0.341,0.166,0.224,0.202,9.947,2,0
Crotone,0.34,0.142,0.214,0.189,14.15,1,0
Benevento,0.338,0.153,0.248,0.206,15.532,1,0
Genoa,0.335,0.184,0.25,0.215,11.766,2,0
VfB Stuttgart,0.333,0.205,0.268,0.237,11.632,2,0
Swansea,0.333,0.149,0.225,0.194,13.554,1,0
Amiens,0.333,0.133,0.201,0.161,11.715,2,0
Lorient,0.331,0.175,0.246,0.225,13.263,1,0
Brighton,0.329,0.174,0.238,0.187,14.258,1,0
Nantes,0.329,0.165,0.255,0.204,11.265,2,0
Watford,0.328,0.179,0.242,0.201,11.621,2,0
Saint-Etienne,0.325,0.189,0.245,0.217,10.385,2,0
Mallorca,0.324,0.161,0.235,0.189,12.743,1,0
Aston Villa,0.324,0.16,0.249,0.208,13.819,1,0
Metz,0.324,0.147,0.234,0.206,13.462,1,0
Angers,0.322,0.168,0.254,0.222,15.607,1,0
Granada,0.316,0.154,0.22,0.186,10.421,2,0
Guingamp,0.315,0.165,0.231,0.211,12.523,2,0
Torino,0.315,0.195,0.277,0.244,10.517,2,0
Sampdoria,0.314,0.191,0.271,0.238,10.596,2,0
Sunderland,0.312,0.148,0.23,0.191,12.435,1,0
Hannover 96,0.312,0.161,0.247,0.218,13.412,2,0
Newcastle United,0.31,0.161,0.238,0.21,15.782,1,0
Verona,0.309,0.176,0.237,0.199,11.43,2,0
SC Bastia,0.308,0.123,0.194,0.171,12.161,1,0
Osasuna,0.308,0.161,0.23,0.203,10.648,2,0
Eibar,0.307,0.175,0.248,0.214,8.245,2,0
Evian Thonon Gaillard,0.306,0.135,0.186,0.154,9.523,2,0
Lecce,0.303,0.212,0.295,0.268,16.841,1,0
Hamburger SV,0.302,0.155,0.234,0.203,9.093,3,0
West Bromwich Albion,0.301,0.148,0.214,0.172,14.88,1,0
Nimes,0.298,0.174,0.259,0.228,13.138,1,0
Real Valladolid,0.295,0.152,0.215,0.182,11.679,2,0
Malaga,0.291,0.167,0.252,0.223,8.732,2,0
Queens Park Rangers,0.286,0.181,0.3,0.219,10.342,2,0
Brescia,0.286,0.172,0.235,0.211,14.79,1,0
Real Betis,0.286,0.181,0.244,0.227,9.899,2,0
