gameID,teamName,season,date,location,cluster,pressure,result,awayGoals,homeGoals
81,Manchester United,2015,2015-08-08 15:45:00,h,0,Low Pressure,W,No Goals,Few Goals
81,Tottenham,2015,2015-08-08 15:45:00,a,0,Medium Pressure,L,No Goals,Few Goals
82,Bournemouth,2015,2015-08-08 18:00:00,h,0,High Pressure,L,Few Goals,No Goals
82,Aston Villa,2015,2015-08-08 18:00:00,a,0,Medium Pressure,W,Few Goals,No Goals
83,Everton,2015,2015-08-08 18:00:00,h,0,High Pressure,D,Many Goals,Many Goals
83,Watford,2015,2015-08-08 18:00:00,a,0,Low Pressure,D,Many Goals,Many Goals
84,Leicester,2015,2015-08-08 18:00:00,h,1,Medium Pressure,W,Many Goals,Many Goals
84,Sunderland,2015,2015-08-08 18:00:00,a,0,Medium Pressure,L,Many Goals,Many Goals
85,Norwich,2015,2015-08-08 18:00:00,h,0,High Pressure,L,Many Goals,Few Goals
85,Crystal Palace,2015,2015-08-08 18:00:00,a,1,Medium Pressure,W,Many Goals,Few Goals
86,Chelsea,2015,2015-08-08 20:30:00,h,0,Medium Pressure,D,Many Goals,Many Goals
86,Swansea,2015,2015-08-08 20:30:00,a,1,Medium Pressure,D,Many Goals,Many Goals
87,Newcastle United,2015,2015-08-09 16:30:00,h,0,Low Pressure,D,Many Goals,Many Goals
87,Southampton,2015,2015-08-09 16:30:00,a,0,High Pressure,D,Many Goals,Many Goals
88,Arsenal,2015,2015-08-09 16:30:00,h,1,Medium Pressure,L,Many Goals,No Goals
88,West Ham,2015,2015-08-09 16:30:00,a,0,Low Pressure,W,Many Goals,No Goals
89,Stoke,2015,2015-08-09 19:00:00,h,0,Medium Pressure,L,Few Goals,No Goals
89,Liverpool,2015,2015-08-09 19:00:00,a,0,Medium Pressure,W,Few Goals,No Goals
90,West Bromwich Albion,2015,2015-08-10 23:00:00,h,0,Low Pressure,L,Many Goals,No Goals
90,Manchester City,2015,2015-08-10 23:00:00,a,1,Medium Pressure,W,Many Goals,No Goals
91,Aston Villa,2015,2015-08-14 22:45:00,h,0,Medium Pressure,L,Few Goals,No Goals
91,Manchester United,2015,2015-08-14 22:45:00,a,0,Medium Pressure,W,Few Goals,No Goals
92,Southampton,2015,2015-08-15 15:45:00,h,0,Medium Pressure,L,Many Goals,No Goals
92,Everton,2015,2015-08-15 15:45:00,a,0,Low Pressure,W,Many Goals,No Goals
